t,H2O2,OH,HO2,H2O,O2
-1.8000000000000007,523605600000000.0,0.0,0.0,0.0,0.0
-1.5999999999999979,523605600000000.0,0.0,0.0,0.0,0.0
-1.3999999999999986,523605600000000.0,0.0,0.0,0.0,0.0
-1.1999999999999993,523605600000000.0,0.0,0.0,0.0,0.0
-1.0,523605600000000.0,0.0,0.0,0.0,0.0
-0.7999999999999972,523605600000000.0,0.0,0.0,0.0,0.0
-0.5999999999999979,523605600000000.0,0.0,0.0,0.0,0.0
-0.3999999999999986,523605600000000.0,0.0,0.0,0.0,0.0
-0.1999999999999993,523605600000000.0,0.0,0.0,0.0,0.0
0.0,523383004573589.8,2558660320091.714,218538489369.13052,226595890353.08966,4000463942.747885
0.20000000000000284,522946144361483.2,2093087922415.536,633298263625.8535,685208762803.2029,25753124286.190063
0.40000000000000213,522590626995593.5,1698553368925.2583,954827948062.1377,1074073117319.1901,59100112912.40989
0.6000000000000014,522303391351583.6,1369843774166.0571,1204308798763.8843,1398195692661.5803,95987044244.89589
0.8000000000000007,522072637670670.1,1099431395720.8451,1398049941157.1074,1664917710575.1165,131955381244.82693
1.0,521888093764510.4,879100975013.1321,1548582450919.983,1882291831527.4766,164785596037.518
1.2000000000000028,521741041932316.1,700883958618.7988,1665541876247.585,2058148453621.5469,193590385937.32516
1.4000000000000021,521624216457075.3,557535582961.8981,1756353905693.5496,2199617082399.656,218233539474.68854
1.6000000000000014,521531641210483.0,442729261248.93835,1826757610753.0942,2312929427383.547,238970637866.28296
1.8000000000000007,521458448723897.7,351087112787.0946,1881201846683.604,2403386042718.702,256234766616.2591
2.0,521400703632356.4,278123078905.82874,1923145162808.813,2475410435482.3745,270514067838.5923
2.200000000000003,521355241941898.8,220145601667.1862,1955283179084.2754,2532643851602.829,282285793501.4586
2.400000000000002,521319530686786.7,174147208180.08466,1979721612867.4465,2578053472663.279,291984159449.89636
2.6000000000000014,521291548724787.8,137696048450.41525,1998108530751.5168,2614038990174.418,299987714962.0203
2.8000000000000007,521269687388650.3,108836844865.12816,2011735894239.2253,2642530080679.9927,306617469330.17725
3.0,521252668802881.4,86004281414.50847,2021617864167.3823,2665071719996.6914,312140522877.9479
3.200000000000003,521239479388251.0,67949374937.32869,2028551416162.564,2682896755716.802,316776143967.72894
3.400000000000002,521229316129542.1,53678084072.02132,2033163422226.7039,2696986444251.6987,320702573793.73376
3.6000000000000014,521221543398275.4,42400822667.940414,2035947326059.2097,2708120250865.4697,324063649140.7786
